Timestamp,Name,You are a:,First Choice,Second Choice,Third Choice
12/25/2011 21:16:29,Willie,Harvard Student,Ice Skating,Prudential Skywalk,iLab
12/26/2011 0:27:53,Pikachu,Foreign Delegate,Ice Skating,MIT Tour,Harvard Tour
12/26/2011 0:28:26,Charmander,Harvard Student,Coop,Microsoft NERD,Sam Adams/Chocolate Factory
12/26/2011 0:28:46,Dragonite,Harvard Student,iLab,Prudential Skywalk,Boston Tour
12/26/2011 0:29:12,Mewtwo,Foreign Delegate,Scavenger Hunt,HBS Tour,Prudential Skywalk
12/26/2011 0:29:56,Lapras,Foreign Delegate,Ice Skating,Sam Adams/Chocolate Factory,iLab
12/26/2011 0:30:48,Magikarp,Foreign Delegate,Coop,Harvard Tour,Microsoft NERD
12/26/2011 0:31:22,Articuno,Harvard Student,Sam Adams/Chocolate Factory,Ice Skating,Coop
12/26/2011 0:31:51,Zapdos,Harvard Student,iLab,MIT Tour,Boston Tour
12/26/2011 0:32:13,Moltres,Harvard Student,Prudential Skywalk,Ice Skating,MIT Tour
12/26/2011 0:32:32,Mew,Foreign Delegate,Boston Tour,Microsoft NERD,iLab
12/26/2011 0:34:44,Paolo,Harvard Student,Scavenger Hunt,Harvard Tour,Boston Tour
12/26/2011 0:35:13,Jon,Harvard Student,Ice Skating,Coop,MIT Tour
12/26/2011 0:35:29,Yusuke,Foreign Delegate,Sam Adams/Chocolate Factory,HBS Tour,iLab
12/26/2011 0:35:52,Kim,Foreign Delegate,Microsoft NERD,Prudential Skywalk,Ice Skating
12/27/2011 2:21:00,Yoona,Foreign Delegate,Scavenger Hunt,Ice Skating,Sam Adams/Chocolate Factory
12/27/2011 2:25:35,Yuri,Harvard Student,Prudential Skywalk,iLab,Boston Tour
12/27/2011 2:25:50,Sooyoung,Harvard Student,Prudential Skywalk,Microsoft NERD,Boston Tour
12/27/2011 2:26:00,Jessica,Foreign Delegate,Coop,Ice Skating,Harvard Tour
12/27/2011 2:28:45,Taeyeon,Foreign Delegate,MIT Tour,Sam Adams/Chocolate Factory,HBS Tour
12/27/2011 2:28:59,Tiffany,Harvard Student,Microsoft NERD,HBS Tour,Scavenger Hunt
12/27/2011 2:29:12,Sunny,Foreign Delegate,HBS Tour,Harvard Tour,Ice Skating
12/27/2011 2:30:50,Seohyun,Foreign Delegate,Sam Adams/Chocolate Factory,MIT Tour,HBS Tour
12/27/2011 2:31:03,Hyoyeon,Harvard Student,Prudential Skywalk,Harvard Tour,Boston Tour
12/27/2011 2:31:19,G-Dragon,Foreign Delegate,Sam Adams/Chocolate Factory,Coop,Harvard Tour
